Time	Node	Type	Packets	
1	0	CacheHits	0
1	0	CacheMisses	0
1	1	CacheHits	0
1	1	CacheMisses	0
1	2	CacheHits	0
1	2	CacheMisses	0
2	0	CacheHits	0
2	0	CacheMisses	0
2	1	CacheHits	0
2	1	CacheMisses	0
2	2	CacheHits	0
2	2	CacheMisses	0
3	0	CacheHits	0
3	0	CacheMisses	0
3	1	CacheHits	0
3	1	CacheMisses	0
3	2	CacheHits	0
3	2	CacheMisses	0
4	0	CacheHits	0
4	0	CacheMisses	0
4	1	CacheHits	0
4	1	CacheMisses	0
4	2	CacheHits	0
4	2	CacheMisses	0
5	0	CacheHits	0
5	0	CacheMisses	0
5	1	CacheHits	0
5	1	CacheMisses	0
5	2	CacheHits	0
5	2	CacheMisses	0
6	0	CacheHits	0
6	0	CacheMisses	0
6	1	CacheHits	0
6	1	CacheMisses	0
6	2	CacheHits	0
6	2	CacheMisses	0
7	0	CacheHits	0
7	0	CacheMisses	0
7	1	CacheHits	0
7	1	CacheMisses	0
7	2	CacheHits	0
7	2	CacheMisses	0
8	0	CacheHits	0
8	0	CacheMisses	0
8	1	CacheHits	0
8	1	CacheMisses	0
8	2	CacheHits	0
8	2	CacheMisses	0
9	0	CacheHits	0
9	0	CacheMisses	0
9	1	CacheHits	0
9	1	CacheMisses	0
9	2	CacheHits	0
9	2	CacheMisses	0
10	0	CacheHits	0
10	0	CacheMisses	0
10	1	CacheHits	0
10	1	CacheMisses	0
10	2	CacheHits	0
10	2	CacheMisses	0
11	0	CacheHits	0
11	0	CacheMisses	0
11	1	CacheHits	0
11	1	CacheMisses	0
11	2	CacheHits	0
11	2	CacheMisses	0
12	0	CacheHits	0
12	0	CacheMisses	0
12	1	CacheHits	0
12	1	CacheMisses	0
12	2	CacheHits	0
12	2	CacheMisses	0
13	0	CacheHits	0
13	0	CacheMisses	0
13	1	CacheHits	0
13	1	CacheMisses	0
13	2	CacheHits	0
13	2	CacheMisses	0
14	0	CacheHits	0
14	0	CacheMisses	0
14	1	CacheHits	0
14	1	CacheMisses	0
14	2	CacheHits	0
14	2	CacheMisses	0
15	0	CacheHits	0
15	0	CacheMisses	0
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	0
16	0	CacheHits	0
16	0	CacheMisses	0
16	1	CacheHits	0
16	1	CacheMisses	0
16	2	CacheHits	0
16	2	CacheMisses	0
17	0	CacheHits	0
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	0
18	0	CacheHits	0
18	0	CacheMisses	0
18	1	CacheHits	0
18	1	CacheMisses	0
18	2	CacheHits	0
18	2	CacheMisses	0
19	0	CacheHits	0
19	0	CacheMisses	0
19	1	CacheHits	0
19	1	CacheMisses	0
19	2	CacheHits	0
19	2	CacheMisses	0
