Waf: Entering directory `/home/lvtao/ndnSIM/ns-3/build'
Waf: Leaving directory `/home/lvtao/ndnSIM/ns-3/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.067s)
R53 pit usage: 1 on time: 0
R56 pit usage: 1 on time: 0
R53 pit usage: 79 on time: 0.5
R56 pit usage: 57 on time: 0.5
R53 pit usage: 150 on time: 1
R56 pit usage: 131 on time: 1
R53 pit usage: 161 on time: 1.5
R56 pit usage: 131 on time: 1.5
R53 pit usage: 161 on time: 2
R56 pit usage: 131 on time: 2
R53 pit usage: 161 on time: 2.5
R56 pit usage: 131 on time: 2.5
R53 pit usage: 161 on time: 3
R56 pit usage: 131 on time: 3
R53 pit usage: 161 on time: 3.5
R56 pit usage: 131 on time: 3.5
R53 pit usage: 161 on time: 4
R56 pit usage: 131 on time: 4
R53 pit usage: 161 on time: 4.5
R56 pit usage: 131 on time: 4.5
R53 pit usage: 161 on time: 5
R56 pit usage: 131 on time: 5
R53 pit usage: 161 on time: 5.5
R56 pit usage: 131 on time: 5.5
R53 pit usage: 161 on time: 6
R56 pit usage: 131 on time: 6
R53 pit usage: 161 on time: 6.5
R56 pit usage: 131 on time: 6.5
R53 pit usage: 161 on time: 7
R56 pit usage: 131 on time: 7
R53 pit usage: 161 on time: 7.5
R56 pit usage: 131 on time: 7.5
R53 pit usage: 161 on time: 8
R56 pit usage: 131 on time: 8
R53 pit usage: 161 on time: 8.5
R56 pit usage: 131 on time: 8.5
R53 pit usage: 161 on time: 9
R56 pit usage: 131 on time: 9
R53 pit usage: 161 on time: 9.5
R56 pit usage: 131 on time: 9.5
R53 pit usage: 161 on time: 10
R56 pit usage: 131 on time: 10
R53 pit usage: 160 on time: 10.5
R56 pit usage: 130 on time: 10.5
R53 pit usage: 160 on time: 11
R56 pit usage: 130 on time: 11
R53 pit usage: 160 on time: 11.5
R56 pit usage: 130 on time: 11.5
R53 pit usage: 160 on time: 12
R56 pit usage: 130 on time: 12
R53 pit usage: 160 on time: 12.5
R56 pit usage: 130 on time: 12.5
R53 pit usage: 160 on time: 13
R56 pit usage: 130 on time: 13
R53 pit usage: 160 on time: 13.5
R56 pit usage: 130 on time: 13.5
R53 pit usage: 160 on time: 14
R56 pit usage: 130 on time: 14
R53 pit usage: 160 on time: 14.5
R56 pit usage: 130 on time: 14.5
R53 pit usage: 160 on time: 15
R56 pit usage: 130 on time: 15
R53 pit usage: 160 on time: 15.5
R56 pit usage: 130 on time: 15.5
R53 pit usage: 160 on time: 16
R56 pit usage: 130 on time: 16
R53 pit usage: 160 on time: 16.5
R56 pit usage: 130 on time: 16.5
R53 pit usage: 160 on time: 17
R56 pit usage: 130 on time: 17
R53 pit usage: 160 on time: 17.5
R56 pit usage: 130 on time: 17.5
R53 pit usage: 160 on time: 18
R56 pit usage: 130 on time: 18
R53 pit usage: 160 on time: 18.5
R56 pit usage: 130 on time: 18.5
R53 pit usage: 160 on time: 19
R56 pit usage: 130 on time: 19
R53 pit usage: 160 on time: 19.5
R56 pit usage: 130 on time: 19.5
